cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_pigra_dehiscens,Goicochea,43,NA,Mimosa pigra var. dehiscens  / Mimosa pigra,Mimosa pigra var. dehiscens,Mimosa,pigra,dehiscens,Variety,2,1,0&3,0&4,1,22.289,16.703,0.823,0.372,NA,NA
Mimosa_piresii,Goicochea,NA,x,Mimosa piresii ,Mimosa piresii,Mimosa,piresii,NA,Species,2,1,0&3,0,1,20.4,14.9,NA,NA,NA,NA
Mimosa_pithecolobioides,Lima et al. 2008; Goicochea,NA,NA,Mimosa pithecolobioides,Mimosa pithecolobioides,Mimosa,pithecolobioides,NA,Species,4,1,1,0,NA,23.174,16.969,0.313,0.307,NA,NA
Mimosa_pringlei_pringlei,Medina-Acosta-2018,NA,NA,Mimosa pringlei var. pringlei ,Mimosa pringlei var. pringlei,Mimosa,pringlei,pringlei,Variety,3,1,4,1,0&1,16.56,12.61,0.76,0.87,NA,NA
Mimosa_prorepens,Goicochea,NA,x,Mimosa prorepens ,Mimosa prorepens,Mimosa,prorepens,NA,Species,2,1,0&5,0,1,16.9,11.8,0.49,0.47,NA,NA
Mimosa_pseudosepiaria,Lima et al. 2008,NA,NA,Mimosa pseudosepiaria ,Mimosa pseudosepiaria,Mimosa,pseudosepiaria,NA,Species,3,NA,NA,0&4,NA,14.9,10.4,NA,0.5,NA,NA
Mimosa_pteridifolia,Goicochea; Santos-Silva et al. 2013,3,NA,Mimosa pteridifolia,Mimosa pteridifolia,Mimosa,pteridifolia,NA,Species,1&2,1,4&5,1,NA,20.346,14.655,0.374,0.284,NA,NA
Mimosa_pudica,Lima et al. 2008,NA,NA,Mimosa pudica ,Mimosa pudica,Mimosa,pudica,NA,Species,2,NA,0&5,0,NA,10.4,10.1,NA,0.5,NA,NA
Mimosa_quadrivalvis_angustata,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. angustata ,Mimosa quadrivalvis var. angustata,Mimosa,quadrivalvis,angustata,Variety,2,1,0,4,NA,30,27,1.3,1.3,NA,NA
Mimosa_quadrivalvis_diffusa,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. diffusa ,Mimosa quadrivalvis var. diffusa,Mimosa,quadrivalvis,diffusa,Variety,2,1,0,4,NA,31,28,1.3,1.3,NA,NA
Mimosa_quadrivalvis_jaliscensis,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. jaliscensis ,Mimosa quadrivalvis var. jaliscensis,Mimosa,quadrivalvis,jaliscensis,Variety,2,1,0,4,NA,36,30,1.3,1.3,NA,NA
Mimosa_quadrivalvis_nuttallii,Flores-Cruz - 2006,NA,NA,Mimosa nuttallii ,Mimosa quadrivalvis var. nuttallii,Mimosa,quadrivalvis,nuttallii,Variety,2,1,0,4,NA,29,26,1.3,1.3,NA,NA
Mimosa_quadrivalvis_occidentalis,Flores-Cruz - 2006,NA,NA,Mimosa rupertiana ,Mimosa quadrivalvis var. occidentalis,Mimosa,quadrivalvis,occidentalis,Variety,2,1,0,1,NA,30,27,1.3,1.3,NA,NA
Mimosa_quadrivalvis_paucijuga,Flores-Cruz - 2006,NA,NA,Mimosa paucijuga ,Mimosa quadrivalvis var. paucijuga,Mimosa,quadrivalvis,paucijuga,Variety,2,1,0,4,NA,35,30,0.6,0.6,NA,NA
Mimosa_quadrivalvis_platycarpa,Flores-Cruz - 2006,NA,NA,Mimosa roemeriana ,Mimosa quadrivalvis var. platycarpa,Mimosa,quadrivalvis,platycarpa,Variety,2,1,0,1,NA,33,29,1.3,1.3,NA,NA
Mimosa_quadrivalvis_quadrivalvis,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. quadrivalvis ,Mimosa quadrivalvis var. quadrivalvis,Mimosa,quadrivalvis,quadrivalvis,Variety,2,1,0,4,NA,35,32,1.3,1.3,NA,NA
Mimosa_quadrivalvis_urbaniana,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. urbaniana ,Mimosa quadrivalvis var. urbaniana,Mimosa,quadrivalvis,urbaniana,Variety,2,1,0,1,NA,28,25,NA,NA,NA,NA
Mimosa_regnellii_supersetosa,Caccavari 2002,NA,NA,Mimosa regnelli var. supercetosa ,Mimosa regnellii var. supersetosa,Mimosa,regnellii,supersetosa,Variety,2,NA,NA,4,NA,27,NA,NA,NA,NA,NA
Mimosa_rhodostegia,Goicochea,NA,x,Mimosa rhodostegia ,Mimosa rhodostegia,Mimosa,rhodostegia,NA,Species,2,1,0&3,0,1,20.7,13.4,0.65,0.65,NA,NA
Mimosa_robusta,Flores-Cruz - 2006,NA,NA,Mimosa robusta ,Mimosa robusta,Mimosa,robusta,NA,Species,2,1,0,4,NA,47,39,1.3,1.3,NA,NA
Mimosa_rupigena,Goicochea,NA,x,Mimosa setosa var. rupigena ,Mimosa rupigena,Mimosa,rupigena,NA,Species,2,1,0&3,0,1,19.5,13.4,0.59,0.69,NA,NA
Mimosa_scabrella,Goicochea; Bauermann et al. 2009,27,NA,Mimosa scabrella,Mimosa scabrella,Mimosa,scabrella,NA,Species,2,2,0&5,6,1,13.49,9.575,0.604,0.772,NA,NA
Mimosa_schomburgkii,Santos-Silva et al. 2013,NA,NA,Mimosa schomburgkii ,Mimosa schomburgkii,Mimosa,schomburgkii,NA,Species,1&2,1,4&5,NA,NA,30,16.1,NA,NA,NA,NA
Mimosa_sensitiva,Buril et al. 2010,NA,NA,Mimosa sensitiva,Mimosa sensitiva,Mimosa,sensitiva,NA,Species,2,NA,5,0,1,8.65,NA,NA,NA,NA,NA
Mimosa_sensitiva_sensitiva,Lima et al. 2008,NA,NA,Mimosa sensitiva var. sensitiva ,Mimosa sensitiva var. sensitiva,Mimosa,sensitiva,sensitiva,Variety,2,NA,0&5,0,NA,8.8,8.3,NA,1,NA,NA
Mimosa_sericantha,Santos-Silva et al. 2013,NA,NA,Mimosa sericantha ,Mimosa sericantha,Mimosa,sericantha,NA,Species,2,1,3&5,NA,NA,23,11.9,NA,NA,NA,NA
Mimosa_setosissima,Goicochea,NA,x,Mimosa setosissima ,Mimosa setosissima,Mimosa,setosissima,NA,Species,2,1,0&5,0,1,17.2,12.1,0.46,0.51,NA,NA
Mimosa_setuligera,Lima et al. 2008,NA,NA,Mimosa setuligera ,Mimosa setuligera,Mimosa,setuligera,NA,Species,2,NA,5,0&4,0&1,12.7,10.9,NA,1,NA,NA
Mimosa_somnians_somnians,Lima et al. 2008,NA,NA,Mimosa somnians var. somnians ,Mimosa somnians var. somnians,Mimosa,somnians,somnians,Variety,2,NA,0&3,0&4,NA,20.1,12.5,NA,1,NA,NA
Mimosa_sousae,Medina-Acosta-2018,NA,NA,Mimosa sousae ,Mimosa sousae,Mimosa,sousae,NA,Species,2,0&1,5,1&2,0,14.67,10.33,1.63,1.04,NA,NA
